thedate,num,name
2020-03-23,2433,London
2020-03-23,808,Midlands
2020-03-23,590,South East
2020-03-23,496,North West
2020-03-23,446,North East and Yorkshire
2020-03-23,351,East of England
2020-03-23,278,South West
2020-03-24,2872,London
2020-03-24,1074,Midlands
2020-03-24,751,South East
2020-03-24,593,North West
2020-03-24,542,North East and Yorkshire
2020-03-24,429,East of England
2020-03-24,345,South West
2020-03-25,3247,London
2020-03-25,1296,Midlands
2020-03-25,876,South East
2020-03-25,703,North West
2020-03-25,698,North East and Yorkshire
2020-03-25,480,East of England
2020-03-25,397,South West
2020-03-26,3919,London
2020-03-26,1636,Midlands
2020-03-26,1129,South East
2020-03-26,891,North East and Yorkshire
2020-03-26,837,North West
2020-03-26,592,East of England
2020-03-26,453,South West
2020-03-27,4637,London
2020-03-27,2090,Midlands
2020-03-27,1606,South East
2020-03-27,1222,North East and Yorkshire
2020-03-27,1020,North West
2020-03-27,796,East of England
2020-03-27,534,South West
2020-03-28,5299,London
2020-03-28,2438,Midlands
2020-03-28,1727,South East
2020-03-28,1497,North East and Yorkshire
2020-03-28,1253,North West
2020-03-28,1001,East of England
2020-03-28,649,South West
2020-03-29,5957,London
2020-03-29,2824,Midlands
2020-03-29,1887,South East
2020-03-29,1792,North East and Yorkshire
2020-03-29,1536,North West
2020-03-29,1139,East of England
2020-03-29,733,South West
2020-03-30,6521,London
2020-03-30,3188,Midlands
2020-03-30,2101,South East
2020-03-30,2087,North East and Yorkshire
2020-03-30,1847,North West
2020-03-30,1339,East of England
2020-03-30,818,South West
2020-03-31,7121,London
2020-03-31,3570,Midlands
2020-03-31,2425,South East
2020-03-31,2348,North East and Yorkshire
2020-03-31,2132,North West
2020-03-31,1632,East of England
2020-03-31,966,South West
2020-04-01,734,Birmingham
2020-04-01,652,Hampshire
2020-04-01,571,Surrey
2020-04-01,541,Sheffield
2020-04-01,506,Brent
2020-04-01,480,Hertfordshire
2020-04-01,474,Southwark
2020-04-01,468,Barnet
2020-04-01,462,Lambeth
2020-04-01,455,Kent
2020-04-01,425,Cumbria
2020-04-01,420,Essex
2020-04-01,380,Croydon
2020-04-01,368,Lancashire
2020-04-01,360,Wandsworth
2020-04-01,350,Ealing
2020-04-01,347,Harrow
2020-04-01,330,Newham
2020-04-01,329,Staffordshire
2020-04-01,321,Bromley
2020-04-01,307,Derbyshire
2020-04-01,301,Westminster
2020-04-01,285,Lewisham
2020-04-01,275,Nottinghamshire
2020-04-01,262,Liverpool
2020-04-01,260,Waltham Forest
2020-04-01,241,Tower Hamlets
2020-04-01,240,Enfield
2020-04-01,234,Oxfordshire
2020-04-01,225,Newcastle upon Tyne
2020-04-01,222,Hillingdon
2020-04-01,221,Hackney and City of London
2020-04-01,214,Hounslow
2020-04-01,212,Camden
2020-04-01,208,Wolverhampton
2020-04-01,208,Merton
2020-04-01,205,Greenwich
2020-04-01,201,Worcestershire
2020-04-01,198,Walsall
2020-04-01,196,Redbridge
2020-04-01,195,Buckinghamshire
2020-04-01,194,Haringey
2020-04-01,192,Leeds
2020-04-01,191,Kensington and Chelsea
2020-04-01,190,Warwickshire
2020-04-01,187,Leicestershire
2020-04-01,187,Northamptonshire
2020-04-01,186,Sandwell
2020-04-01,180,Norfolk
2020-04-01,177,Hammersmith and Fulham
2020-04-01,174,Islington
2020-04-01,172,Gloucestershire
2020-04-01,160,West Sussex
2020-04-01,157,Dudley
2020-04-01,155,Manchester
2020-04-01,149,North Yorkshire
2020-04-01,147,Bexley
2020-04-01,143,Derby
2020-04-01,142,Richmond upon Thames
2020-04-01,142,Sutton
2020-04-01,141,Cambridgeshire
2020-04-01,133,Havering
2020-04-01,133,Lincolnshire
2020-04-01,131,County Durham
2020-04-01,130,Barking and Dagenham
2020-04-01,129,Salford
2020-04-01,128,Devon
2020-04-01,127,Coventry
2020-04-01,126,Solihull
2020-04-01,125,Suffolk
2020-04-01,122,Barnsley
2020-04-01,120,Nottingham
2020-04-01,117,"Bristol, City of"
2020-04-01,117,Milton Keynes
2020-04-01,115,Slough
2020-04-01,114,Oldham
2020-04-01,109,Sunderland
2020-04-01,108,Kingston upon Thames
2020-04-01,107,Stockport
2020-04-01,107,Rotherham
2020-04-01,104,Trafford
2020-04-01,102,Shropshire
2020-04-01,101,Leicester
2020-04-01,101,Kirklees
2020-04-01,100,Southampton
2020-04-01,99,Cornwall and Isles of Scilly
2020-04-01,98,Medway
2020-04-01,95,Bradford
2020-04-01,94,Rochdale
2020-04-01,93,Wiltshire
2020-04-01,92,Northumberland
2020-04-01,91,Luton
2020-04-01,87,North Tyneside
2020-04-01,86,Sefton
2020-04-01,84,East Sussex
2020-04-01,83,Wirral
2020-04-01,81,Central Bedfordshire
2020-04-01,80,Gateshead
2020-04-01,79,Portsmouth
2020-04-01,79,Doncaster
2020-04-01,79,Wakefield
2020-04-01,77,Tameside
2020-04-01,76,South Gloucestershire
2020-04-01,76,Cheshire East
2020-04-01,75,Windsor and Maidenhead
2020-04-01,75,Bury
2020-04-01,72,St Helens
2020-04-01,67,Wokingham
2020-04-01,67,Wigan
2020-04-01,66,Reading
2020-04-01,65,Cheshire West and Chester
2020-04-01,63,West Berkshire
2020-04-01,63,Somerset
2020-04-01,62,Thurrock
2020-04-01,62,Dorset
2020-04-01,60,Stockton on Tees
2020-04-01,60,Bedford
2020-04-01,59,Middlesbrough
2020-04-01,58,"Bournemouth, Christchurch and Poole"
2020-04-01,56,Plymouth
2020-04-01,55,Stoke on Trent
2020-04-01,54,Calderdale
2020-04-01,53,Knowsley
2020-04-01,51,Redcar and Cleveland
2020-04-01,51,Bolton
2020-04-01,49,Brighton and Hove
2020-04-01,48,Telford and Wrekin
2020-04-01,46,East Riding of Yorkshire
2020-04-01,45,Bath and North East Somerset
2020-04-01,44,Southend on Sea
2020-04-01,44,South Tyneside
2020-04-01,42,North Somerset
2020-04-01,42,Torbay
2020-04-01,40,Warrington
2020-04-01,40,"Herefordshire, County of"
2020-04-01,36,Peterborough
2020-04-01,35,York
2020-04-01,35,Bracknell Forest
2020-04-01,32,Halton
2020-04-01,31,Swindon
2020-04-01,27,Blackpool
2020-04-01,25,Blackburn with Darwen
2020-04-01,24,Darlington
2020-04-01,23,North East Lincolnshire
2020-04-01,23,North Lincolnshire
2020-04-01,15,Hartlepool
2020-04-01,14,"Kingston upon Hull, City of"
2020-04-01,14,Isle of Wight
2020-04-01,4,Rutland
2020-04-02,852,Birmingham
2020-04-02,699,Hampshire
2020-04-02,618,Surrey
2020-04-02,602,Sheffield
2020-04-02,582,Hertfordshire
2020-04-02,559,Brent
2020-04-02,531,Kent
2020-04-02,517,Essex
2020-04-02,516,Southwark
2020-04-02,512,Cumbria
2020-04-02,510,Barnet
2020-04-02,508,Lambeth
2020-04-02,463,Lancashire
2020-04-02,437,Croydon
2020-04-02,397,Wandsworth
2020-04-02,385,Ealing
2020-04-02,378,Harrow
2020-04-02,372,Staffordshire
2020-04-02,370,Newham
2020-04-02,366,Bromley
2020-04-02,346,Lewisham
2020-04-02,342,Derbyshire
2020-04-02,311,Westminster
2020-04-02,309,Liverpool
2020-04-02,298,Nottinghamshire
2020-04-02,290,Waltham Forest
2020-04-02,277,Oxfordshire
2020-04-02,266,Hackney and City of London
2020-04-02,264,Enfield
2020-04-02,259,Tower Hamlets
2020-04-02,252,Newcastle upon Tyne
2020-04-02,250,Hillingdon
2020-04-02,247,Greenwich
2020-04-02,235,Merton
2020-04-02,235,Warwickshire
2020-04-02,234,Hounslow
2020-04-02,231,Walsall
2020-04-02,225,Camden
2020-04-02,222,Wolverhampton
2020-04-02,221,Worcestershire
2020-04-02,220,Northamptonshire
2020-04-02,215,Sandwell
2020-04-02,212,Redbridge
2020-04-02,212,Buckinghamshire
2020-04-02,211,Haringey
2020-04-02,208,Kensington and Chelsea
2020-04-02,208,Gloucestershire
2020-04-02,207,Norfolk
2020-04-02,203,Leeds
2020-04-02,201,Leicestershire
2020-04-02,195,Manchester
2020-04-02,194,Dudley
2020-04-02,190,Bexley
2020-04-02,188,Hammersmith and Fulham
2020-04-02,188,Islington
2020-04-02,176,Sutton
2020-04-02,172,West Sussex
2020-04-02,167,Derby
2020-04-02,166,Cambridgeshire
2020-04-02,165,County Durham
2020-04-02,163,North Yorkshire
2020-04-02,158,Salford
2020-04-02,157,Suffolk
2020-04-02,155,Coventry
2020-04-02,155,Richmond upon Thames
2020-04-02,153,Lincolnshire
2020-04-02,147,Devon
2020-04-02,142,Havering
2020-04-02,141,Solihull
2020-04-02,141,Barking and Dagenham
2020-04-02,140,Stockport
2020-04-02,137,"Bristol, City of"
2020-04-02,134,Barnsley
2020-04-02,131,Sunderland
2020-04-02,129,Rotherham
2020-04-02,127,Milton Keynes
2020-04-02,127,Kingston upon Thames
2020-04-02,126,Trafford
2020-04-02,125,Nottingham
2020-04-02,125,Oldham
2020-04-02,119,Northumberland
2020-04-02,119,Sefton
2020-04-02,118,Bradford
2020-04-02,117,Slough
2020-04-02,115,Luton
2020-04-02,114,Cornwall and Isles of Scilly
2020-04-02,114,Kirklees
2020-04-02,113,North Tyneside
2020-04-02,112,St Helens
2020-04-02,111,Wirral
2020-04-02,110,Medway
2020-04-02,107,Leicester
2020-04-02,106,Shropshire
2020-04-02,105,Southampton
2020-04-02,105,Wiltshire
2020-04-02,105,Rochdale
2020-04-02,102,Cheshire East
2020-04-02,99,Central Bedfordshire
2020-04-02,97,Cheshire West and Chester
2020-04-02,95,Doncaster
2020-04-02,95,Wakefield
2020-04-02,95,Gateshead
2020-04-02,95,East Sussex
2020-04-02,94,Tameside
2020-04-02,91,South Gloucestershire
2020-04-02,91,Wigan
2020-04-02,87,Bury
2020-04-02,83,Portsmouth
2020-04-02,79,Thurrock
2020-04-02,79,Knowsley
2020-04-02,75,Windsor and Maidenhead
2020-04-02,74,Middlesbrough
2020-04-02,73,Dorset
2020-04-02,72,Bedford
2020-04-02,71,Southend on Sea
2020-04-02,70,Stockton on Tees
2020-04-02,69,Bolton
2020-04-02,68,Somerset
2020-04-02,67,Reading
2020-04-02,67,Wokingham
2020-04-02,66,West Berkshire
2020-04-02,65,Warrington
2020-04-02,61,Stoke on Trent
2020-04-02,60,Plymouth
2020-04-02,60,Calderdale
2020-04-02,58,"Bournemouth, Christchurch and Poole"
2020-04-02,56,East Riding of Yorkshire
2020-04-02,55,Redcar and Cleveland
2020-04-02,53,South Tyneside
2020-04-02,52,Bath and North East Somerset
2020-04-02,51,Telford and Wrekin
2020-04-02,50,North Somerset
2020-04-02,50,Brighton and Hove
2020-04-02,49,Torbay
2020-04-02,47,"Herefordshire, County of"
2020-04-02,41,Halton
2020-04-02,40,Swindon
2020-04-02,37,Blackburn with Darwen
2020-04-02,37,Peterborough
2020-04-02,36,York
2020-04-02,36,Bracknell Forest
2020-04-02,30,Darlington
2020-04-02,28,Blackpool
2020-04-02,24,North Lincolnshire
2020-04-02,23,North East Lincolnshire
2020-04-02,18,"Kingston upon Hull, City of"
2020-04-02,17,Hartlepool
2020-04-02,17,Isle of Wight
2020-04-02,5,Rutland
